14788
219, 119 960 1643 4225 7000 7135
220, 661 1145 2259 3997 4368 4416 5782 5819 6972 9488
221, 105 206 864 1532 2271 2306 2307 3034 7851 11270
222, 100 266 1051 1529 5017 5133 5134 6452 6453
223, 602 2093 2107 4803 4804 7186 7792 7793 9768 11029 11726
224, 3869 5349 8152 8153 9058 11145 11798
225, 283 2047 2456 2483 5797 5807 7180 7871
226, 122 3539 5954 8156 8157 8188
227, 167 710 1496 1811 6816 8316 8929 9841 10891 11380 11381 12307
228, 4651 6627 6920 7901 9146 9883 9884 10385 10386 10587 10588
229, 573 1252 1347 4076 5519 7872 7873 8952 9987
230, 19 516 1416 7418 8421 8422 9484 12262
231, 320 1150 4769 5501 8477 8981 10532
232, 687 1429 1430 2318 2567 3123 3485 4192 4640 7285
233, 1290 1782 1789 2245 3752 6490 9457 9547 9548 9877 10737 11583 11703 12193
234, 358 450 510 2836 5102 5696 5866 7863
235, 88 957 4593 5721 6188 6494 6495 8342 9448
236, 748 910 1654 2795 6426 8766 8811 10008
237, 674 3391 3777 4761 4762 7171 8915 11759
238, 313 893 2371 2372 7172 7356
239, 142 291 1362 1508 1779 7607 7608 10299
240, 621 1268 2959 8182 8975 9780 14691
241, 80 177 5799 6085 6086 6624 6625 7191 10563 10564
242, 4089 5167 6118 6119 6156 6157 10518 11353
243, 327 853 1679 5003 8748 8786 9809 9810
244, 350 2939 2940 6144 6513 7321 9375 11709
245, 385 807 7236 7684 8106 10229 10800
246, 116 334 1729 2807 6117 7562 8107 8123 8881 9853 9986
247, 690 702 996 1512 1597 2192 3717 6268 6637 6674 9937
248, 65 670 1433 1456 2647 6044 7270 7271 7737 7738 8793
249, 459 657 787 1598 4781 4797 5860 7432 9037 9038 9396 9397 9786
250, 1570 4587 6802 7575 7576 8213 8214
251, 1248 2043 3238 3239 5041 6376
252, 107 3187 5674 5675 7482 7483 10266
253, 183 788 2348 2484 5357 5695 8017 8018 9235 9236
254, 162 965 1484 2302 7147 7148
255, 182 209 1002 3180 4430 7516
256, 1157 1443 3059 5722 6189 6748 8343 9820 9821
257, 188 799 845 1219 4006 8349 8350 9335
258, 772 1545 3412 4917 6326 7293 7294 7955
259, 2612 3367 4480 6040 6884 9226 9266 10085 10086 10886 10962 14766
260, 504 1725 2234 3707 6182 6431 6432 9606 11518 11519
261, 469 673 891 2221 3362
262, 1514 5042 6652 7106 7107 7450 8772 8988
263, 193 1988 3696 6473 9014
264, 82 736 2898 3607 4574 5809 8169 8776 10722
265, 23 1318 1814 3906 3907 5128 7034
266, 100 222 355 1051 1052 1529
267, 161 422 1189 1730 2755 5616 9251 9252 10974 10975
268, 1027 1992 2303 2401 3766 5213 9354 9745 10735 10736 11513 11514
269, 423 2842 3473
270, 190 376 479 1661 3142 5266
271, 298 329 2161 2162 3663 3925 4542
272, 2076 6827 6828 7891 9324
273, 472 2042 2688 3164 4512 4928 11005 11084 11883
274, 1257 1280 1450 1616 1630 3681 6823 6824
275, 643 4270 4271
276, 538 4496 5941 6578 7545
277, 1637 1782 3978 5968 5969 8838 9458 9547 9837
278, 1131 1478 1841 5500 7681 8165 9664 9665
