# 62663 RisoSurf
Str_Ablauf_23449 32565021.620 5778108.230 21266 0.010000    0.250  % 69.575 9999.990 -9930.415 %  MU14S502 1 10573    22.034960    
Str_Ablauf_23450 32565001.650 5778130.590 21267 0.010000    0.250  % 68.926 9999.990 -9931.064 %  MU14S502 1 3602    20.266535    
Str_Ablauf_23451 32564984.350 5778134.890 21268 0.010000    0.250  % 68.687 9999.990 -9931.303 %  MU14S554 1 9111    24.886658    
Str_Ablauf_23452 32564970.790 5778155.680 21269 0.010000    0.250  % 68.366 9999.990 -9931.624 %  MU14S554 1 11227    26.986992    
Str_Ablauf_23453 32564957.990 5778177.210 21270 0.010000    0.250  % 68.202 9999.990 -9931.788 %  MU14N501 1 13254    28.466091    
Str_Ablauf_23454 32564954.820 5778187.810 21271 0.010000    0.250  % 68.172 9999.990 -9931.818 %  MU14N502 1 13025    25.535007    
Str_Ablauf_23455 32564953.200 5778198.550 21272 0.010000    0.250  % 68.213 9999.990 -9931.777 %  MU14N541 1 8246    22.696821    
Str_Ablauf_23456 32564947.510 5778226.750 21273 0.010000    0.250  % 68.295 9999.990 -9931.696 %  MU14N542 1 6497    23.617924    
Str_Ablauf_23457 32564954.080 5778225.810 21274 0.010000    0.250  % 68.298 9999.990 -9931.692 %  MU14N541 1 10398    25.651886    
Str_Ablauf_23458 32564957.360 5778260.560 21275 0.010000    0.250  % 68.406 9999.990 -9931.584 %  MU14N542 1 10550    25.746252    
Str_Ablauf_23459 32564954.580 5778298.820 21276 0.010000    0.250  % 68.503 9999.990 -9931.487 %  MU14N543 1 2218    20.849962    
Str_Ablauf_23460 32564961.060 5778297.630 21277 0.010000    0.250  % 68.619 9999.990 -9931.371 %  MU14N543 1 2510    22.201897    
Str_Ablauf_23461 32564965.330 5778338.570 21278 0.010000    0.250  % 68.765 9999.990 -9931.226 %  MU14N543 1 10333    34.815353    
Str_Ablauf_23462 32564969.710 5778377.600 21279 0.010000    0.250  % 68.822 9999.990 -9931.168 %  MU14N544 1 11157    21.874561    
Str_Ablauf_23463 32564996.650 5778409.520 21280 0.010000    0.250  % 69.229 9999.990 -9930.762 %  MU14N545 1 12649    20.837936    
Str_Ablauf_23464 32565008.550 5778411.970 21281 0.010000    0.250  % 69.454 9999.990 -9930.537 %  MU14N545 1 11979    33.689018    
Str_Ablauf_23465 32565007.460 5778418.850 21282 0.010000    0.250  % 69.598 9999.990 -9930.392 %  MU14N545 1 13346    28.884954    
Str_Ablauf_23466 32564825.220 5778373.310 21283 0.010000    0.250  % 64.966 9999.990 -9935.025 %  MU14N527 1 182    24.744066    
Str_Ablauf_23467 32564799.290 5778359.860 21284 0.010000    0.250  % 64.420 9999.990 -9935.570 %  MU14N526 1 5076    21.868414    
Str_Ablauf_23468 32564775.810 5778236.810 21285 0.010000    0.250  % 63.474 9999.990 -9936.517 %  MU14N518 1 1771    25.839968    
Str_Ablauf_23469 32564773.070 5778220.880 21286 0.010000    0.250  % 63.470 9999.990 -9936.520 %  MU14N518 1 8781    19.787655    
Str_Ablauf_23470 32564772.500 5778214.900 21287 0.010000    0.250  % 63.384 9999.990 -9936.606 %  MU14N518 1 5264    18.713692    
Str_Ablauf_23471 32564857.560 5778305.820 21288 0.010000    0.250  % 65.915 9999.990 -9934.075 %  MU14N533 1 9639    21.975109    
Str_Ablauf_23472 32564891.560 5778321.770 21289 0.010000    0.250  % 66.932 9999.990 -9933.058 %  MU14N533 1 6108    28.522299    
Str_Ablauf_23473 32564875.480 5778327.110 21290 0.010000    0.250  % 66.450 9999.990 -9933.541 %  MU14N533 1 3650    16.116648    
Str_Ablauf_23474 32564879.380 5778203.650 21291 0.010000    0.250  % 65.910 9999.990 -9934.080 %  MU14N536 1 2374    21.164680    
Str_Ablauf_23475 32564896.690 5778214.560 21292 0.010000    0.250  % 65.998 9999.990 -9933.992 %  MU14N536 1 855    26.795429    
Str_Ablauf_23476 32564673.510 5777984.580 21293 0.010000    0.250  % 60.164 9999.990 -9939.826 %  MU14S506 1 491    32.639259    
Str_Ablauf_23477 32564675.440 5778139.470 21294 0.010000    0.250  % 61.161 9999.990 -9938.830 %  MU14S507 1 5895    16.366327    
Str_Ablauf_23478 32564672.920 5778377.770 21295 0.010000    0.250  % 61.493 9999.990 -9938.497 %  MU14N507 1 5910    21.284342    
Str_Ablauf_23479 32564686.300 5778420.490 21296 0.010000    0.250  % 61.712 9999.990 -9938.279 %  MU10S502 1 8313    25.539745    
Str_Ablauf_23480 32564685.600 5778386.790 21297 0.010000    0.250  % 61.585 9999.990 -9938.405 %  MU14N507 1 926    16.313036    
Str_Ablauf_23481 32564694.980 5778377.180 21298 0.010000    0.250  % 61.854 9999.990 -9938.137 %  MU14N507 1 8927    25.530642    
Str_Ablauf_23482 32564726.430 5778376.700 21299 0.010000    0.250  % 62.654 9999.990 -9937.336 %  MU14N510 1 1722    16.657654    
Str_Ablauf_23483 32564765.840 5778420.360 21300 0.010000    0.250  % 63.640 9999.990 -9936.350 %  MU14N517 1 4865    10.609088    
Str_Ablauf_23484 32564765.100 5778380.370 21301 0.010000    0.250  % 63.484 9999.990 -9936.506 %  MU14N516 1 6022    6.535325    
