# 168
J_80 4242129.363 5429285.897 31 0.00000    1.0000  % 248.659 248.659 0 % 1 21648   1 
J_86 4242173.316 5429167.099 32 0.00000    1.0000  % 257.732 257.732 0 % 1 16862   1 
J_84 4242154.399 5429213.383 33 0.00000    1.0000  % 254.004 254.004 0 % 1 18856   1 
J_89 4242266.059 5429084.248 34 0.00000    1.0000  % 257.870 257.870 0 % 1 13292   1 
J_88 4242242.692 5429093.316 35 0.00000    1.0000  % 258.223 258.223 0 % 1 13684   1 
J_87 4242196.078 5429111.405 36 0.00000    1.0000  % 258.958 258.958 0 % 1 14470   1 
J_148 4242344.137 5428851.032 37 0.00000    1.0000  % 272.633 272.633 0 % 1 4116   1 
J_149 4242312.150 5428856.252 38 0.00000    1.0000  % 272.447 272.447 0 % 1 4106   1 
J_102 4242572.599 5429040.378 39 0.00000    1.0000  % 263.526 263.526 0 % 1 11790   1 
J_223 4242575.568 5429136.851 40 0.00000    1.0000  % 256.642 256.642 0 % 1 15790   1 
J_103 4242642.622 5429027.975 41 0.00000    1.0000  % 264.210 264.210 0 % 1 11412   1 
J_100 4242469.455 5429073.677 42 0.00000    1.0000  % 260.096 260.096 0 % 1 12956   1 
J_188 4242267.720 5428959.782 43 0.00000    1.0000  % 267.543 267.543 0 % 1 8492   1 
J_221 4242659.750 5429094.177 44 0.00000    1.0000  % 258.442 258.442 0 % 1 13816   1 
J_101 4242523.365 5429049.098 45 0.00000    1.0000  % 262.655 262.655 0 % 1 12174   1 
J_222 4242615.153 5429116.784 46 0.00000    1.0000  % 257.641 257.641 0 % 1 15002   1 
J_186 4242326.635 5428935.334 47 0.00000    1.0000  % 268.491 268.491 0 % 1 7310   1 
J_185 4242321.158 5428905.434 48 0.00000    1.0000  % 270.465 270.465 0 % 1 6110   1 
J_182 4242467.696 5428888.483 49 0.00000    1.0000  % 271.389 271.389 0 % 1 5756   1 
J_180 4242530.241 5428874.532 50 0.00000    1.0000  % 270.589 270.589 0 % 1 4976   1 
J_31 4242239.958 5429279.315 51 0.00000    1.0000  % 249.202 249.202 0 % 1 21284   1 
J_30 4242283.458 5429254.663 52 0.00000    1.0000  % 249.832 249.832 0 % 1 20498   1 
J_35 4242360.326 5429393.412 53 0.00000    1.0000  % 261.212 261.212 0 % 1 26122   1 
J_34 4242349.504 5429344.597 54 0.00000    1.0000  % 258.849 258.849 0 % 1 24118   1 
